pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId
155,CV,CVC,control,n,사슴,침대,PICTURE_105.png,PICTURE_268.png,Deer,Bed
156,CV,CVC,control,n,사슴,폴더,PICTURE_105.png,PICTURE_596.png,Deer,Folder
172,CV,CV,control,n,사슴,치즈,PICTURE_105.png,PICTURE_72.png,Deer,Cheese
249,CVC,CVC,control,n,책상,군인,PICTURE_110.png,PICTURE_317.png,Desk,Soldier
250,CVC,CVC,control,n,책상,팔찌,PICTURE_110.png,PICTURE_588.png,Desk,Bracelet
259,CVC,CVC,control,n,공주,신문,PICTURE_157.png,PICTURE_61.png,Princess,Newspaper
260,CVC,CVC,control,n,공주,전화,PICTURE_157.png,PICTURE_509.png,Princess,Telephone
9,CV,CVC,control,n,버섯,눈썹,PICTURE_177.png,PICTURE_578.png,Mushroom,Eyebrow
10,CV,CVC,control,n,버섯,감자,PICTURE_177.png,PICTURE_249.png,Mushroom,Potato
52,CV,CV,control,n,버섯,계단,PICTURE_177.png,PICTURE_500.png,Mushroom,Stairs
161,CVC,CV,control,n,삼각,치마,PICTURE_181.png,PICTURE_199.png,Triangle,Skirt
162,CVC,CV,control,n,삼각,포크,PICTURE_181.png,PICTURE_673.png,Triangle,Fork
167,CVC,CVC,control,n,삼각,칠판,PICTURE_181.png,PICTURE_402.png,Triangle,Blackboard
179,CV,CVC,control,n,치마,상어,PICTURE_199.png,PICTURE_533.png,Skirt,Shark
180,CV,CVC,control,n,치마,폭탄,PICTURE_199.png,PICTURE_386.png,Skirt,Bomb
195,CV,CV,control,n,치마,포도,PICTURE_199.png,PICTURE_620.png,Skirt,Grapes
227,CVC,CVC,control,n,발목,문어,PICTURE_205.png,PICTURE_728.png,Ankle,Octopus
228,CVC,CVC,control,n,발목,맥주,PICTURE_205.png,PICTURE_229.png,Ankle,Beer
48,CVC,CVC,control,n,경찰,눈썹,PICTURE_213.png,PICTURE_578.png,Police,Eyebrow
65,CVC,CV,control,n,경찰,버섯,PICTURE_213.png,PICTURE_177.png,Police,Mushroom
66,CVC,CV,control,n,경찰,냄비,PICTURE_213.png,PICTURE_369.png,Police,Pot
225,CVC,CVC,control,n,맥주,문어,PICTURE_229.png,PICTURE_728.png,Beer,Octopus
226,CVC,CVC,control,n,맥주,발목,PICTURE_229.png,PICTURE_205.png,Beer,Ankle
275,CVC,CVC,control,n,전구,공항,PICTURE_244.png,PICTURE_617.png,Lightbulb,Airport
276,CVC,CVC,control,n,전구,신부,PICTURE_244.png,PICTURE_602.png,Lightbulb,Priest
67,CVC,CV,control,n,감자,버섯,PICTURE_249.png,PICTURE_177.png,Potato,Mushroom
68,CVC,CV,control,n,감자,냄비,PICTURE_249.png,PICTURE_369.png,Potato,Pot
72,CVC,CVC,control,n,감자,봉투,PICTURE_249.png,PICTURE_310.png,Potato,Envelope
185,CVC,CV,control,n,침대,사슴,PICTURE_268.png,PICTURE_105.png,Bed,Deer
186,CVC,CV,control,n,침대,포도,PICTURE_268.png,PICTURE_620.png,Bed,Grapes
191,CVC,CVC,control,n,침대,폭탄,PICTURE_268.png,PICTURE_386.png,Bed,Bomb
283,CVC,CVC,control,n,공룡,신발,PICTURE_293.png,PICTURE_541.png,Dinosaur,Shoes
284,CVC,CVC,control,n,공룡,전갈,PICTURE_293.png,PICTURE_370.png,Dinosaur,Scorpion
115,CVC,CV,control,n,깃발,타조,PICTURE_295.png,PICTURE_299.png,Flag,Ostrich
116,CVC,CV,control,n,깃발,고래,PICTURE_295.png,PICTURE_724.png,Flag,Whale
120,CVC,CVC,control,n,깃발,말벌,PICTURE_295.png,PICTURE_62.png,Flag,Hornet
75,CV,CV,control,n,타조,도끼,PICTURE_299.png,PICTURE_422.png,Ostrich,Axe
81,CV,CVC,control,n,타조,깃발,PICTURE_299.png,PICTURE_295.png,Ostrich,Flag
82,CV,CVC,control,n,타조,복도,PICTURE_299.png,PICTURE_483.png,Ostrich,Hallway
239,CVC,CVC,control,n,날개,백조,PICTURE_307.png,PICTURE_528.png,Wing,Swan
240,CVC,CVC,control,n,날개,분필,PICTURE_307.png,PICTURE_622.png,Wing,Chalk
19,CVC,CV,control,n,봉투,노트,PICTURE_310.png,PICTURE_642.png,Envelope,Notebook
20,CVC,CV,control,n,봉투,계단,PICTURE_310.png,PICTURE_500.png,Envelope,Stairs
71,CVC,CVC,control,n,봉투,감자,PICTURE_310.png,PICTURE_249.png,Envelope,Potato
247,CVC,CVC,control,n,군인,책상,PICTURE_317.png,PICTURE_110.png,Soldier,Desk
248,CVC,CVC,control,n,군인,팔찌,PICTURE_317.png,PICTURE_588.png,Soldier,Bracelet
27,CV,CV,control,n,냄비,거미,PICTURE_369.png,PICTURE_38.png,Pot,Spider
33,CV,CVC,control,n,냄비,반지,PICTURE_369.png,PICTURE_744.png,Pot,Ring
34,CV,CVC,control,n,냄비,경찰,PICTURE_369.png,PICTURE_213.png,Pot,Police
287,CVC,CVC,control,n,전갈,공룡,PICTURE_370.png,PICTURE_293.png,Scorpion,Dinosaur
288,CVC,CVC,control,n,전갈,신발,PICTURE_370.png,PICTURE_541.png,Scorpion,Shoes
28,CV,CV,control,n,거미,냄비,PICTURE_38.png,PICTURE_369.png,Spider,Pot
57,CV,CVC,control,n,거미,봉투,PICTURE_38.png,PICTURE_310.png,Spider,Envelope
58,CV,CVC,control,n,거미,낙타,PICTURE_38.png,PICTURE_77.png,Spider,Camel
192,CVC,CVC,control,n,폭탄,침대,PICTURE_386.png,PICTURE_268.png,Bomb,Bed
209,CVC,CV,control,n,폭탄,치즈,PICTURE_386.png,PICTURE_72.png,Bomb,Cheese
210,CVC,CV,control,n,폭탄,사진,PICTURE_386.png,PICTURE_527.png,Bomb,Photo
168,CVC,CVC,control,n,칠판,삼각,PICTURE_402.png,PICTURE_181.png,Blackboard,Triangle
187,CVC,CV,control,n,칠판,사슴,PICTURE_402.png,PICTURE_105.png,Blackboard,Deer
188,CVC,CV,control,n,칠판,포도,PICTURE_402.png,PICTURE_620.png,Blackboard,Grapes
76,CV,CV,control,n,도끼,타조,PICTURE_422.png,PICTURE_299.png,Axe,Ostrich
131,CV,CVC,control,n,도끼,장미,PICTURE_422.png,PICTURE_480.png,Axe,Rose
132,CV,CVC,control,n,도끼,식물,PICTURE_422.png,PICTURE_611.png,Axe,Plant
89,CVC,CV,control,n,장미,피자,PICTURE_480.png,PICTURE_489.png,Rose,Pizza
90,CVC,CV,control,n,장미,도끼,PICTURE_480.png,PICTURE_422.png,Rose,Axe
95,CVC,CVC,control,n,장미,복도,PICTURE_480.png,PICTURE_483.png,Rose,Hallway
96,CVC,CVC,control,n,복도,장미,PICTURE_483.png,PICTURE_480.png,Hallway,Rose
139,CVC,CV,control,n,복도,사과,PICTURE_483.png,PICTURE_552.png,Hallway,Apple
140,CVC,CV,control,n,복도,지문,PICTURE_483.png,PICTURE_537.png,Hallway,Fingerprint
105,CV,CVC,control,n,피자,촛불,PICTURE_489.png,PICTURE_68.png,Pizza,Candle
106,CV,CVC,control,n,피자,말벌,PICTURE_489.png,PICTURE_62.png,Pizza,Hornet
124,CV,CV,control,n,피자,고래,PICTURE_489.png,PICTURE_724.png,Pizza,Whale
51,CV,CV,control,n,계단,버섯,PICTURE_500.png,PICTURE_177.png,Stairs,Mushroom
59,CV,CVC,control,n,계단,봉투,PICTURE_500.png,PICTURE_310.png,Stairs,Envelope
60,CV,CVC,control,n,계단,낙타,PICTURE_500.png,PICTURE_77.png,Stairs,Camel
263,CVC,CVC,control,n,전화,공주,PICTURE_509.png,PICTURE_157.png,Telephone,Princess
264,CVC,CVC,control,n,전화,신문,PICTURE_509.png,PICTURE_61.png,Telephone,Newspaper
147,CV,CV,control,n,사진,포크,PICTURE_527.png,PICTURE_673.png,Photo,Fork
153,CV,CVC,control,n,사진,침대,PICTURE_527.png,PICTURE_268.png,Photo,Bed
154,CV,CVC,control,n,사진,폴더,PICTURE_527.png,PICTURE_596.png,Photo,Folder
235,CVC,CVC,control,n,백조,분필,PICTURE_528.png,PICTURE_622.png,Swan,Chalk
236,CVC,CVC,control,n,백조,날개,PICTURE_528.png,PICTURE_307.png,Swan,Wing
163,CVC,CV,control,n,상어,치마,PICTURE_533.png,PICTURE_199.png,Shark,Skirt
164,CVC,CV,control,n,상어,포크,PICTURE_533.png,PICTURE_673.png,Shark,Fork
216,CVC,CVC,control,n,상어,폴더,PICTURE_533.png,PICTURE_596.png,Shark,Folder
99,CV,CV,control,n,지문,사과,PICTURE_537.png,PICTURE_552.png,Fingerprint,Apple
107,CV,CVC,control,n,지문,촛불,PICTURE_537.png,PICTURE_68.png,Fingerprint,Candle
108,CV,CVC,control,n,지문,말벌,PICTURE_537.png,PICTURE_62.png,Fingerprint,Hornet
285,CVC,CVC,control,n,신발,공룡,PICTURE_541.png,PICTURE_293.png,Shoes,Dinosaur
286,CVC,CVC,control,n,신발,전갈,PICTURE_541.png,PICTURE_370.png,Shoes,Scorpion
83,CV,CVC,control,n,사과,깃발,PICTURE_552.png,PICTURE_295.png,Apple,Flag
84,CV,CVC,control,n,사과,복도,PICTURE_552.png,PICTURE_483.png,Apple,Hallway
100,CV,CV,control,n,사과,지문,PICTURE_552.png,PICTURE_537.png,Apple,Fingerprint
43,CVC,CV,control,n,눈썹,부엌,PICTURE_578.png,PICTURE_730.png,Eyebrow,Kitchen
44,CVC,CV,control,n,눈썹,거미,PICTURE_578.png,PICTURE_38.png,Eyebrow,Spider
47,CVC,CVC,control,n,눈썹,경찰,PICTURE_578.png,PICTURE_213.png,Eyebrow,Police
251,CVC,CVC,control,n,팔찌,군인,PICTURE_588.png,PICTURE_317.png,Bracelet,Soldier
252,CVC,CVC,control,n,팔찌,책상,PICTURE_588.png,PICTURE_110.png,Bracelet,Desk
211,CVC,CV,control,n,폴더,치즈,PICTURE_596.png,PICTURE_72.png,Folder,Cheese
212,CVC,CV,control,n,폴더,사진,PICTURE_596.png,PICTURE_527.png,Folder,Photo
215,CVC,CVC,control,n,폴더,상어,PICTURE_596.png,PICTURE_533.png,Folder,Shark
273,CVC,CVC,control,n,신부,공항,PICTURE_602.png,PICTURE_617.png,Priest,Airport
274,CVC,CVC,control,n,신부,전구,PICTURE_602.png,PICTURE_244.png,Priest,Lightbulb
261,CVC,CVC,control,n,신문,공주,PICTURE_61.png,PICTURE_157.png,Newspaper,Princess
262,CVC,CVC,control,n,신문,전화,PICTURE_61.png,PICTURE_509.png,Newspaper,Telephone
113,CVC,CV,control,n,식물,타조,PICTURE_611.png,PICTURE_299.png,Plant,Ostrich
114,CVC,CV,control,n,식물,고래,PICTURE_611.png,PICTURE_724.png,Plant,Whale
144,CVC,CVC,control,n,식물,촛불,PICTURE_611.png,PICTURE_68.png,Plant,Candle
271,CVC,CVC,control,n,공항,신부,PICTURE_617.png,PICTURE_602.png,Airport,Priest
272,CVC,CVC,control,n,공항,전구,PICTURE_617.png,PICTURE_244.png,Airport,Lightbulb
91,CVC,CV,control,n,말벌,피자,PICTURE_62.png,PICTURE_489.png,Hornet,Pizza
92,CVC,CV,control,n,말벌,도끼,PICTURE_62.png,PICTURE_422.png,Hornet,Axe
119,CVC,CVC,control,n,말벌,깃발,PICTURE_62.png,PICTURE_295.png,Hornet,Flag
196,CV,CV,control,n,포도,치마,PICTURE_620.png,PICTURE_199.png,Grapes,Skirt
201,CV,CVC,control,n,포도,삼각,PICTURE_620.png,PICTURE_181.png,Grapes,Triangle
202,CV,CVC,control,n,포도,칠판,PICTURE_620.png,PICTURE_402.png,Grapes,Blackboard
237,CVC,CVC,control,n,분필,백조,PICTURE_622.png,PICTURE_528.png,Chalk,Swan
238,CVC,CVC,control,n,분필,날개,PICTURE_622.png,PICTURE_307.png,Chalk,Wing
4,CV,CV,control,n,노트,부엌,PICTURE_642.png,PICTURE_730.png,Notebook,Kitchen
35,CV,CVC,control,n,노트,반지,PICTURE_642.png,PICTURE_744.png,Notebook,Ring
36,CV,CVC,control,n,노트,경찰,PICTURE_642.png,PICTURE_213.png,Notebook,Police
148,CV,CV,control,n,포크,사진,PICTURE_673.png,PICTURE_527.png,Fork,Photo
203,CV,CVC,control,n,포크,삼각,PICTURE_673.png,PICTURE_181.png,Fork,Triangle
204,CV,CVC,control,n,포크,칠판,PICTURE_673.png,PICTURE_402.png,Fork,Blackboard
137,CVC,CV,control,n,촛불,사과,PICTURE_68.png,PICTURE_552.png,Candle,Apple
138,CVC,CV,control,n,촛불,지문,PICTURE_68.png,PICTURE_537.png,Candle,Fingerprint
143,CVC,CVC,control,n,촛불,식물,PICTURE_68.png,PICTURE_611.png,Candle,Plant
171,CV,CV,control,n,치즈,사슴,PICTURE_72.png,PICTURE_105.png,Cheese,Deer
177,CV,CVC,control,n,치즈,상어,PICTURE_72.png,PICTURE_533.png,Cheese,Shark
178,CV,CVC,control,n,치즈,폭탄,PICTURE_72.png,PICTURE_386.png,Cheese,Bomb
123,CV,CV,control,n,고래,피자,PICTURE_724.png,PICTURE_489.png,Whale,Pizza
129,CV,CVC,control,n,고래,장미,PICTURE_724.png,PICTURE_480.png,Whale,Rose
130,CV,CVC,control,n,고래,식물,PICTURE_724.png,PICTURE_611.png,Whale,Plant
223,CVC,CVC,control,n,문어,맥주,PICTURE_728.png,PICTURE_229.png,Octopus,Beer
224,CVC,CVC,control,n,문어,발목,PICTURE_728.png,PICTURE_205.png,Octopus,Ankle
3,CV,CV,control,n,부엌,노트,PICTURE_730.png,PICTURE_642.png,Kitchen,Notebook
11,CV,CVC,control,n,부엌,눈썹,PICTURE_730.png,PICTURE_578.png,Kitchen,Eyebrow
12,CV,CVC,control,n,부엌,감자,PICTURE_730.png,PICTURE_249.png,Kitchen,Potato
17,CVC,CV,control,n,반지,노트,PICTURE_744.png,PICTURE_642.png,Ring,Notebook
18,CVC,CV,control,n,반지,계단,PICTURE_744.png,PICTURE_500.png,Ring,Stairs
