pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId,primeAnimacy,targetAnimacy
229,CVC,CVC,rime,y,맥주,백조,PICTURE_229.png,PICTURE_528.png,Beer,Swan,inanimate,animate
269,CVC,CVC,syllable,y,신부,신발,PICTURE_602.png,PICTURE_541.png,Priest,Shoes,animate,inanimate
258,CVC,CVC,syllable,y,공항,공주,PICTURE_617.png,PICTURE_157.png,Airport,Princess,inanimate,animate
231,CVC,CVC,rime,y,백조,맥주,PICTURE_528.png,PICTURE_229.png,Swan,Beer,animate,inanimate
173,CV,CVC,body,y,치즈,침대,PICTURE_72.png,PICTURE_268.png,Cheese,Bed,inanimate,inanimate
200,CV,CVC,body,y,포크,폴더,PICTURE_673.png,PICTURE_596.png,Fork,Folder,inanimate,inanimate
8,CV,CVC,onset,y,부엌,반지,PICTURE_730.png,PICTURE_744.png,Kitchen,Ring,inanimate,inanimate
136,CVC,CV,nucleus,y,복도,도끼,PICTURE_483.png,PICTURE_422.png,Hallway,Axe,inanimate,inanimate
224,CVC,CVC,control,n,문어,발목,PICTURE_728.png,PICTURE_205.png,Octopus,Ankle,animate,animate
146,CV,CV,syllable,y,사슴,사진,PICTURE_105.png,PICTURE_527.png,Deer,Photo,animate,inanimate
246,CVC,CVC,rime,y,팔찌,발목,PICTURE_588.png,PICTURE_205.png,Bracelet,Ankle,inanimate,animate
217,CVC,CVC,rime,y,군인,문어,PICTURE_317.png,PICTURE_728.png,Soldier,Octopus,animate,animate
257,CVC,CVC,syllable,y,공항,공룡,PICTURE_617.png,PICTURE_293.png,Airport,Dinosaur,inanimate,animate
241,CVC,CVC,rime,y,날개,발목,PICTURE_307.png,PICTURE_205.png,Wing,Ankle,animate,animate
32,CV,CVC,onset,y,노트,눈썹,PICTURE_642.png,PICTURE_578.png,Notebook,Eyebrow,inanimate,animate
175,CV,CVC,body,y,치마,침대,PICTURE_199.png,PICTURE_268.png,Skirt,Bed,inanimate,inanimate
165,CVC,CVC,body,y,삼각,상어,PICTURE_181.png,PICTURE_533.png,Triangle,Shark,inanimate,animate
221,CVC,CVC,rime,y,분필,문어,PICTURE_622.png,PICTURE_728.png,Chalk,Octopus,inanimate,animate
132,CV,CVC,control,n,도끼,식물,PICTURE_422.png,PICTURE_611.png,Axe,Plant,inanimate,inanimate
135,CVC,CV,nucleus,y,복도,고래,PICTURE_483.png,PICTURE_724.png,Hallway,Whale,inanimate,animate
270,CVC,CVC,syllable,y,신부,신문,PICTURE_602.png,PICTURE_61.png,Priest,Newspaper,animate,inanimate
87,CVC,CV,nucleus,y,말벌,타조,PICTURE_62.png,PICTURE_299.png,Hornet,Ostrich,animate,animate
213,CVC,CVC,body,y,폭탄,폴더,PICTURE_386.png,PICTURE_596.png,Bomb,Folder,inanimate,inanimate
30,CV,CVC,onset,y,냄비,눈썹,PICTURE_369.png,PICTURE_578.png,Pot,Eyebrow,inanimate,animate
53,CV,CVC,onset,y,거미,경찰,PICTURE_38.png,PICTURE_213.png,Spider,Police,animate,animate
54,CV,CVC,onset,y,거미,감자,PICTURE_38.png,PICTURE_249.png,Spider,Potato,animate,inanimate
142,CVC,CVC,nucleus,y,복도,촛불,PICTURE_483.png,PICTURE_68.png,Hallway,Candle,inanimate,inanimate
188,CVC,CV,control,n,칠판,포도,PICTURE_402.png,PICTURE_620.png,Blackboard,Grapes,inanimate,inanimate
193,CV,CV,syllable,y,포도,포크,PICTURE_620.png,PICTURE_673.png,Grapes,Fork,inanimate,inanimate
80,CV,CVC,nucleus,y,사과,말벌,PICTURE_552.png,PICTURE_62.png,Apple,Hornet,inanimate,animate
242,CVC,CVC,rime,y,날개,팔찌,PICTURE_307.png,PICTURE_588.png,Wing,Bracelet,animate,inanimate
232,CVC,CVC,rime,y,백조,책상,PICTURE_528.png,PICTURE_110.png,Swan,Desk,animate,inanimate
282,CVC,CVC,syllable,y,전화,전구,PICTURE_509.png,PICTURE_244.png,Telephone,Lightbulb,inanimate,inanimate
39,CVC,CV,onset,y,눈썹,냄비,PICTURE_578.png,PICTURE_369.png,Eyebrow,Pot,animate,inanimate
160,CVC,CV,body,y,상어,사슴,PICTURE_533.png,PICTURE_105.png,Shark,Deer,animate,animate
24,CVC,CVC,control,n,낙타,반지,PICTURE_77.png,PICTURE_744.png,Camel,Ring,animate,inanimate
2,CV,CV,onset,y,부엌,버섯,PICTURE_730.png,PICTURE_177.png,Kitchen,Mushroom,inanimate,inanimate
