pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId
102,CV,CVC,nucleus,y,피자,깃발,PICTURE_489.png,PICTURE_295.png,Pizza,Flag
79,CV,CVC,nucleus,y,사과,장미,PICTURE_552.png,PICTURE_480.png,Apple,Rose
279,CVC,CVC,syllable,y,전구,전갈,PICTURE_244.png,PICTURE_370.png,Lightbulb,Scorpion
221,CVC,CVC,rime,y,분필,문어,PICTURE_622.png,PICTURE_728.png,Chalk,Octopus
270,CVC,CVC,syllable,y,신부,신문,PICTURE_602.png,PICTURE_61.png,Priest,Newspaper
35,CV,CVC,control,n,노트,반지,PICTURE_642.png,PICTURE_744.png,Notebook,Ring
282,CVC,CVC,syllable,y,전화,전구,PICTURE_509.png,PICTURE_244.png,Telephone,Lightbulb
274,CVC,CVC,control,n,신부,전구,PICTURE_602.png,PICTURE_244.png,Priest,Lightbulb
230,CVC,CVC,rime,y,맥주,책상,PICTURE_229.png,PICTURE_110.png,Beer,Desk
94,CVC,CVC,nucleus,y,말벌,장미,PICTURE_62.png,PICTURE_480.png,Hornet,Rose
219,CVC,CVC,rime,y,문어,군인,PICTURE_728.png,PICTURE_317.png,Octopus,Soldier
175,CV,CVC,body,y,치마,침대,PICTURE_199.png,PICTURE_268.png,Skirt,Bed
2,CV,CV,onset,y,부엌,버섯,PICTURE_730.png,PICTURE_177.png,Kitchen,Mushroom
98,CV,CV,nucleus,y,지문,피자,PICTURE_537.png,PICTURE_489.png,Fingerprint,Pizza
160,CVC,CV,body,y,상어,사슴,PICTURE_533.png,PICTURE_105.png,Shark,Deer
284,CVC,CVC,control,n,공룡,전갈,PICTURE_293.png,PICTURE_370.png,Dinosaur,Scorpion
112,CVC,CV,nucleus,y,깃발,지문,PICTURE_295.png,PICTURE_537.png,Flag,Fingerprint
194,CV,CV,body,y,포크,포도,PICTURE_673.png,PICTURE_620.png,Fork,Grapes
267,CVC,CVC,syllable,y,신문,신발,PICTURE_61.png,PICTURE_541.png,Newspaper,Shoes
253,CVC,CVC,syllable,y,공주,공룡,PICTURE_157.png,PICTURE_293.png,Princess,Dinosaur
97,CV,CV,nucleus,y,피자,지문,PICTURE_489.png,PICTURE_537.png,Pizza,Fingerprint
229,CVC,CVC,rime,y,맥주,백조,PICTURE_229.png,PICTURE_528.png,Beer,Swan
143,CVC,CVC,control,n,촛불,식물,PICTURE_68.png,PICTURE_611.png,Candle,Plant
232,CVC,CVC,rime,y,백조,책상,PICTURE_528.png,PICTURE_110.png,Swan,Desk
56,CV,CVC,onset,y,계단,감자,PICTURE_500.png,PICTURE_249.png,Stairs,Potato
158,CVC,CV,body,y,삼각,사슴,PICTURE_181.png,PICTURE_105.png,Triangle,Deer
109,CVC,CV,nucleus,y,식물,피자,PICTURE_611.png,PICTURE_489.png,Plant,Pizza
251,CVC,CVC,control,n,팔찌,군인,PICTURE_588.png,PICTURE_317.png,Bracelet,Soldier
243,CVC,CVC,rime,y,발목,날개,PICTURE_205.png,PICTURE_307.png,Ankle,Wing
22,CVC,CVC,onset,y,봉투,반지,PICTURE_310.png,PICTURE_744.png,Envelope,Ring
31,CV,CVC,onset,y,노트,낙타,PICTURE_642.png,PICTURE_77.png,Notebook,Camel
189,CVC,CVC,body,y,침대,칠판,PICTURE_268.png,PICTURE_402.png,Bed,Blackboard
159,CVC,CV,body,y,상어,사진,PICTURE_533.png,PICTURE_527.png,Shark,Photo
227,CVC,CVC,control,n,발목,문어,PICTURE_205.png,PICTURE_728.png,Ankle,Octopus
151,CV,CVC,body,y,사슴,삼각,PICTURE_105.png,PICTURE_181.png,Deer,Triangle
146,CV,CV,syllable,y,사슴,사진,PICTURE_105.png,PICTURE_527.png,Deer,Photo
198,CV,CVC,body,y,포도,폴더,PICTURE_620.png,PICTURE_596.png,Grapes,Folder
126,CV,CVC,nucleus,y,고래,복도,PICTURE_724.png,PICTURE_483.png,Whale,Hallway
269,CVC,CVC,syllable,y,신부,신발,PICTURE_602.png,PICTURE_541.png,Priest,Shoes
37,CVC,CV,onset,y,낙타,냄비,PICTURE_77.png,PICTURE_369.png,Camel,Pot
29,CV,CVC,onset,y,냄비,낙타,PICTURE_369.png,PICTURE_77.png,Pot,Camel
210,CVC,CV,control,n,폭탄,사진,PICTURE_386.png,PICTURE_527.png,Bomb,Photo
117,CVC,CVC,nucleus,y,식물,깃발,PICTURE_611.png,PICTURE_295.png,Plant,Flag
61,CVC,CV,onset,y,경찰,거미,PICTURE_213.png,PICTURE_38.png,Police,Spider
170,CV,CV,syllable,y,치마,치즈,PICTURE_199.png,PICTURE_72.png,Skirt,Cheese
8,CV,CVC,onset,y,부엌,반지,PICTURE_730.png,PICTURE_744.png,Kitchen,Ring
213,CVC,CVC,body,y,폭탄,폴더,PICTURE_386.png,PICTURE_596.png,Bomb,Folder
156,CV,CVC,control,n,사슴,폴더,PICTURE_105.png,PICTURE_596.png,Deer,Folder
36,CV,CVC,control,n,노트,경찰,PICTURE_642.png,PICTURE_213.png,Notebook,Police
5,CV,CVC,onset,y,버섯,봉투,PICTURE_177.png,PICTURE_310.png,Mushroom,Envelope
233,CVC,CVC,rime,y,책상,맥주,PICTURE_110.png,PICTURE_229.png,Desk,Beer
265,CVC,CVC,syllable,y,신발,신문,PICTURE_541.png,PICTURE_61.png,Shoes,Newspaper
88,CVC,CV,nucleus,y,말벌,사과,PICTURE_62.png,PICTURE_552.png,Hornet,Apple
46,CVC,CVC,onset,y,눈썹,낙타,PICTURE_578.png,PICTURE_77.png,Eyebrow,Camel
127,CV,CVC,nucleus,y,도끼,촛불,PICTURE_422.png,PICTURE_68.png,Axe,Candle
30,CV,CVC,onset,y,냄비,눈썹,PICTURE_369.png,PICTURE_578.png,Pot,Eyebrow
218,CVC,CVC,rime,y,군인,분필,PICTURE_317.png,PICTURE_622.png,Soldier,Chalk
245,CVC,CVC,rime,y,팔찌,날개,PICTURE_588.png,PICTURE_307.png,Bracelet,Wing
48,CVC,CVC,control,n,경찰,눈썹,PICTURE_213.png,PICTURE_578.png,Police,Eyebrow
45,CVC,CVC,onset,y,낙타,눈썹,PICTURE_77.png,PICTURE_578.png,Camel,Eyebrow
281,CVC,CVC,syllable,y,전화,전갈,PICTURE_509.png,PICTURE_370.png,Telephone,Scorpion
190,CVC,CVC,body,y,칠판,침대,PICTURE_402.png,PICTURE_268.png,Blackboard,Bed
145,CV,CV,syllable,y,사진,사슴,PICTURE_527.png,PICTURE_105.png,Photo,Deer
39,CVC,CV,onset,y,눈썹,냄비,PICTURE_578.png,PICTURE_369.png,Eyebrow,Pot
254,CVC,CVC,syllable,y,공주,공항,PICTURE_157.png,PICTURE_617.png,Princess,Airport
